service,method,path,normalized_path,handler,file,line,match_key
ai,POST,/ai/query,/ai/query,h.handleQuery,services/ai/handler.go,28,ai|POST|/ai/query
ai,POST,/ai/analyze/incident,/ai/analyze/incident,h.handleAnalyzeIncident,services/ai/handler.go,29,ai|POST|/ai/analyze/incident
ai,POST,/ai/recommend/posture,/ai/recommend/posture,h.handleRecommendPosture,services/ai/handler.go,30,ai|POST|/ai/recommend/posture
ai,POST,/ai/explain/policy,/ai/explain/policy,h.handleExplainPolicy,services/ai/handler.go,31,ai|POST|/ai/explain/policy
ai,GET,/ai/config,/ai/config,h.handleGetConfig,services/ai/handler.go,32,ai|GET|/ai/config
ai,PUT,/ai/config,/ai/config,h.handleUpdateConfig,services/ai/handler.go,33,ai|PUT|/ai/config
ai,POST,/ai/protect/scan,/ai/protect/scan,h.handleAIProtectScan,services/ai/handler.go,34,ai|POST|/ai/protect/scan
ai,POST,/ai/protect/redact,/ai/protect/redact,h.handleAIProtectRedact,services/ai/handler.go,35,ai|POST|/ai/protect/redact
ai,POST,/ai/protect/block,/ai/protect/block,h.handleAIProtectBlock,services/ai/handler.go,36,ai|POST|/ai/protect/block
ai,GET,/ai/protect/policies,/ai/protect/policies,h.handleListAIProtectPolicies,services/ai/handler.go,37,ai|GET|/ai/protect/policies
ai,POST,/ai/protect/policies,/ai/protect/policies,h.handleCreateAIProtectPolicy,services/ai/handler.go,38,ai|POST|/ai/protect/policies
ai,DELETE,/ai/protect/policies/{id},/ai/protect/policies/{param},h.handleDeleteAIProtectPolicy,services/ai/handler.go,39,ai|DELETE|/ai/protect/policies/{param}
ai,GET,/ai/protect/audit,/ai/protect/audit,h.handleListAIProtectAudit,services/ai/handler.go,40,ai|GET|/ai/protect/audit
ai-gateway,POST,/ai-gateway/v1/chat/completions,/ai-gateway/v1/chat/completions,h.handleChatCompletions,services/ai-gateway/handler.go,28,ai-gateway|POST|/ai-gateway/v1/chat/completions
ai-gateway,POST,/ai-gateway/v1/completions,/ai-gateway/v1/completions,h.handleCompletions,services/ai-gateway/handler.go,29,ai-gateway|POST|/ai-gateway/v1/completions
