service,service_key,method,path,normalized_path,dynamic,source,file,line,match_key
ai,ai,GET,/ai/protect/policies?tenant_id={param},/ai/protect/policies,True,serviceRequest,web/dashboard/src/components/v3/tabs/AIGatewayTab.tsx,395,ai|GET|/ai/protect/policies
ai,ai,POST,/ai/protect/policies,/ai/protect/policies,False,serviceRequest,web/dashboard/src/components/v3/tabs/AIGatewayTab.tsx,610,ai|POST|/ai/protect/policies
ai,ai,DELETE,/ai/protect/policies/{param},/ai/protect/policies/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/AIGatewayTab.tsx,623,ai|DELETE|/ai/protect/policies/{param}
keycore,keycore,GET,/keys,/keys,True,fetch,web/dashboard/src/components/v3/tabs/ComplianceTab.tsx,335,keycore|GET|/keys
certs,certs,GET,/certs,/certs,True,fetch,web/dashboard/src/components/v3/tabs/ComplianceTab.tsx,337,certs|GET|/certs
discovery,discovery,GET,/discovery/lineage/graph?tenant_id={param}&since={param},/discovery/lineage/graph,True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,321,discovery|GET|/discovery/lineage/graph
discovery,discovery,GET,/discovery/lineage/key/{param},/discovery/lineage/key/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,344,discovery|GET|/discovery/lineage/key/{param}
discovery,discovery,GET,/discovery/lineage/impact/{param},/discovery/lineage/impact/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,345,discovery|GET|/discovery/lineage/impact/{param}
discovery,discovery,POST,/discovery/lineage/record,/discovery/lineage/record,False,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,373,discovery|POST|/discovery/lineage/record
discovery,discovery,GET,/discovery/lineage/timeline/{param}?tenant_id={param},/discovery/lineage/timeline/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,403,discovery|GET|/discovery/lineage/timeline/{param}
discovery,discovery,GET,/discovery/lineage/dependencies/{param}?tenant_id={param},/discovery/lineage/dependencies/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,429,discovery|GET|/discovery/lineage/dependencies/{param}
discovery,discovery,GET,/discovery/lineage/stats?tenant_id={param},/discovery/lineage/stats,True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,446,discovery|GET|/discovery/lineage/stats
discovery,discovery,POST,/discovery/lineage/search?tenant_id={param},/discovery/lineage/search,True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,476,discovery|POST|/discovery/lineage/search
discovery,discovery,GET,/discovery/lineage/provenance/{param}?tenant_id={param},/discovery/lineage/provenance/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,509,discovery|GET|/discovery/lineage/provenance/{param}
discovery,discovery,GET,/discovery/lineage/data-flow/{param}?tenant_id={param},/discovery/lineage/data-flow/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,553,discovery|GET|/discovery/lineage/data-flow/{param}
discovery,discovery,GET,/discovery/lineage/risk-heatmap?tenant_id={param},/discovery/lineage/risk-heatmap,True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,583,discovery|GET|/discovery/lineage/risk-heatmap
discovery,discovery,GET,/discovery/lineage/access-patterns/{param}?tenant_id={param},/discovery/lineage/access-patterns/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,624,discovery|GET|/discovery/lineage/access-patterns/{param}
discovery,discovery,GET,/discovery/lineage/chain-of-custody/{param}?tenant_id={param},/discovery/lineage/chain-of-custody/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,680,discovery|GET|/discovery/lineage/chain-of-custody/{param}
discovery,discovery,GET,/discovery/lineage/tamper-check/{param}?tenant_id={param},/discovery/lineage/tamper-check/{param},True,serviceRequest,web/dashboard/src/components/v3/tabs/LineageTab.tsx,702,discovery|GET|/discovery/lineage/tamper-check/{param}
ai-gateway,ai-gateway,GET,/ai-gateway/v1/health,/ai-gateway/v1/health,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,58,ai-gateway|GET|/ai-gateway/v1/health
ai-gateway,ai-gateway,GET,/ai-gateway/v1/models,/ai-gateway/v1/models,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,63,ai-gateway|GET|/ai-gateway/v1/models
ai-gateway,ai-gateway,POST,/ai-gateway/v1/models,/ai-gateway/v1/models,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,67,ai-gateway|POST|/ai-gateway/v1/models
ai-gateway,ai-gateway,DELETE,/ai-gateway/v1/models/{param},/ai-gateway/v1/models/{param},True,serviceRequest,web/dashboard/src/lib/aigateway.ts,70,ai-gateway|DELETE|/ai-gateway/v1/models/{param}
ai-gateway,ai-gateway,POST,/ai-gateway/v1/models/{param}/test,/ai-gateway/v1/models/{param}/test,True,serviceRequest,web/dashboard/src/lib/aigateway.ts,73,ai-gateway|POST|/ai-gateway/v1/models/{param}/test
ai-gateway,ai-gateway,GET,/ai-gateway/v1/access-rules,/ai-gateway/v1/access-rules,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,78,ai-gateway|GET|/ai-gateway/v1/access-rules
ai-gateway,ai-gateway,POST,/ai-gateway/v1/access-rules,/ai-gateway/v1/access-rules,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,82,ai-gateway|POST|/ai-gateway/v1/access-rules
ai-gateway,ai-gateway,DELETE,/ai-gateway/v1/access-rules/{param},/ai-gateway/v1/access-rules/{param},True,serviceRequest,web/dashboard/src/lib/aigateway.ts,85,ai-gateway|DELETE|/ai-gateway/v1/access-rules/{param}
ai-gateway,ai-gateway,GET,/ai-gateway/v1/budgets,/ai-gateway/v1/budgets,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,90,ai-gateway|GET|/ai-gateway/v1/budgets
ai-gateway,ai-gateway,POST,/ai-gateway/v1/budgets,/ai-gateway/v1/budgets,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,94,ai-gateway|POST|/ai-gateway/v1/budgets
ai-gateway,ai-gateway,PUT,/ai-gateway/v1/budgets/{param},/ai-gateway/v1/budgets/{param},True,serviceRequest,web/dashboard/src/lib/aigateway.ts,97,ai-gateway|PUT|/ai-gateway/v1/budgets/{param}
ai-gateway,ai-gateway,GET,/ai-gateway/v1/budgets/usage,/ai-gateway/v1/budgets/usage,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,100,ai-gateway|GET|/ai-gateway/v1/budgets/usage
ai-gateway,ai-gateway,GET,/ai-gateway/v1/guardrails,/ai-gateway/v1/guardrails,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,105,ai-gateway|GET|/ai-gateway/v1/guardrails
ai-gateway,ai-gateway,POST,/ai-gateway/v1/guardrails,/ai-gateway/v1/guardrails,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,109,ai-gateway|POST|/ai-gateway/v1/guardrails
ai-gateway,ai-gateway,DELETE,/ai-gateway/v1/guardrails/{param},/ai-gateway/v1/guardrails/{param},True,serviceRequest,web/dashboard/src/lib/aigateway.ts,112,ai-gateway|DELETE|/ai-gateway/v1/guardrails/{param}
ai-gateway,ai-gateway,POST,/ai-gateway/v1/scan,/ai-gateway/v1/scan,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,117,ai-gateway|POST|/ai-gateway/v1/scan
ai-gateway,ai-gateway,POST,/ai-gateway/v1/redact,/ai-gateway/v1/redact,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,123,ai-gateway|POST|/ai-gateway/v1/redact
ai-gateway,ai-gateway,POST,/ai-gateway/v1/evaluate,/ai-gateway/v1/evaluate,False,serviceRequest,web/dashboard/src/lib/aigateway.ts,129,ai-gateway|POST|/ai-gateway/v1/evaluate
ai-gateway,ai-gateway,GET,/ai-gateway/v1/audit?limit={param},/ai-gateway/v1/audit,True,serviceRequest,web/dashboard/src/lib/aigateway.ts,137,ai-gateway|GET|/ai-gateway/v1/audit
