route_key,service,method,path,normalized_path,frontend_call_sites,handler,handler_file,handler_line,handler_service_calls,store_calls,receiver_client_calls,internal_package_calls,external_package_calls
ai-gateway|POST|/ai-gateway/v1/chat/completions,ai-gateway,POST,/ai-gateway/v1/chat/completions,/ai-gateway/v1/chat/completions,,handleChatCompletions,services/ai-gateway/handler.go,300,,"ListGuardrails, ListProviders",,,"fmt.Sprintf, strings.Contains, time.Now, time.Since"
ai-gateway|POST|/ai-gateway/v1/completions,ai-gateway,POST,/ai-gateway/v1/completions,/ai-gateway/v1/completions,,handleCompletions,services/ai-gateway/handler.go,439,,,,,"time.Now, time.Since"
ai-gateway|POST|/ai-gateway/v1/embeddings,ai-gateway,POST,/ai-gateway/v1/embeddings,/ai-gateway/v1/embeddings,,handleEmbeddings,services/ai-gateway/handler.go,489,,,,,"time.Now, time.Since"
ai-gateway|POST|/ai-gateway/v1/scan,ai-gateway,POST,/ai-gateway/v1/scan,/ai-gateway/v1/scan,web/dashboard/src/lib/aigateway.ts:117,handleScan,services/ai-gateway/handler.go,534,,,,,
ai-gateway|POST|/ai-gateway/v1/redact,ai-gateway,POST,/ai-gateway/v1/redact,/ai-gateway/v1/redact,web/dashboard/src/lib/aigateway.ts:123,handleRedact,services/ai-gateway/handler.go,548,,,,,
ai-gateway|POST|/ai-gateway/v1/evaluate,ai-gateway,POST,/ai-gateway/v1/evaluate,/ai-gateway/v1/evaluate,web/dashboard/src/lib/aigateway.ts:129,handleEvaluate,services/ai-gateway/handler.go,568,,ListGuardrails,,,"fmt.Sprintf, strings.Contains"
ai-gateway|POST|/ai-gateway/v1/policies,ai-gateway,POST,/ai-gateway/v1/policies,/ai-gateway/v1/policies,web/dashboard/src/lib/aigateway.ts:150,handleCreatePolicy,services/ai-gateway/handler.go,622,,CreatePolicy,,,
ai-gateway|GET|/ai-gateway/v1/policies,ai-gateway,GET,/ai-gateway/v1/policies,/ai-gateway/v1/policies,web/dashboard/src/lib/aigateway.ts:146,handleListPolicies,services/ai-gateway/handler.go,641,,ListPolicies,,,
ai-gateway|GET|/ai-gateway/v1/policies/{param},ai-gateway,GET,/ai-gateway/v1/policies/{id},/ai-gateway/v1/policies/{param},,handleGetPolicy,services/ai-gateway/handler.go,653,,GetPolicy,,,
ai-gateway|PUT|/ai-gateway/v1/policies/{param},ai-gateway,PUT,/ai-gateway/v1/policies/{id},/ai-gateway/v1/policies/{param},,handleUpdatePolicy,services/ai-gateway/handler.go,663,,UpdatePolicy,,,
ai-gateway|DELETE|/ai-gateway/v1/policies/{param},ai-gateway,DELETE,/ai-gateway/v1/policies/{id},/ai-gateway/v1/policies/{param},web/dashboard/src/lib/aigateway.ts:153,handleDeletePolicy,services/ai-gateway/handler.go,680,,DeletePolicy,,,
ai-gateway|POST|/ai-gateway/v1/models,ai-gateway,POST,/ai-gateway/v1/models,/ai-gateway/v1/models,web/dashboard/src/lib/aigateway.ts:67,handleCreateModel,services/ai-gateway/handler.go,691,,CreateProvider,,,
ai-gateway|GET|/ai-gateway/v1/models,ai-gateway,GET,/ai-gateway/v1/models,/ai-gateway/v1/models,web/dashboard/src/lib/aigateway.ts:63,handleListModels,services/ai-gateway/handler.go,713,,ListProviders,,,
ai-gateway|PUT|/ai-gateway/v1/models/{param},ai-gateway,PUT,/ai-gateway/v1/models/{id},/ai-gateway/v1/models/{param},,handleUpdateModel,services/ai-gateway/handler.go,733,,UpdateProvider,,,
ai-gateway|DELETE|/ai-gateway/v1/models/{param},ai-gateway,DELETE,/ai-gateway/v1/models/{id},/ai-gateway/v1/models/{param},web/dashboard/src/lib/aigateway.ts:70,handleDeleteModel,services/ai-gateway/handler.go,750,,DeleteProvider,,,
ai-gateway|POST|/ai-gateway/v1/models/{param}/test,ai-gateway,POST,/ai-gateway/v1/models/{id}/test,/ai-gateway/v1/models/{param}/test,web/dashboard/src/lib/aigateway.ts:73,handleTestModel,services/ai-gateway/handler.go,759,,GetProvider,,,"time.Now, time.Since"
ai-gateway|POST|/ai-gateway/v1/access-rules,ai-gateway,POST,/ai-gateway/v1/access-rules,/ai-gateway/v1/access-rules,web/dashboard/src/lib/aigateway.ts:82,handleCreateAccessRule,services/ai-gateway/handler.go,780,,CreateAccessRule,,,
ai-gateway|GET|/ai-gateway/v1/access-rules,ai-gateway,GET,/ai-gateway/v1/access-rules,/ai-gateway/v1/access-rules,web/dashboard/src/lib/aigateway.ts:78,handleListAccessRules,services/ai-gateway/handler.go,796,,ListAccessRules,,,
ai-gateway|DELETE|/ai-gateway/v1/access-rules/{param},ai-gateway,DELETE,/ai-gateway/v1/access-rules/{id},/ai-gateway/v1/access-rules/{param},web/dashboard/src/lib/aigateway.ts:85,handleDeleteAccessRule,services/ai-gateway/handler.go,808,,DeleteAccessRule,,,
ai-gateway|POST|/ai-gateway/v1/budgets,ai-gateway,POST,/ai-gateway/v1/budgets,/ai-gateway/v1/budgets,web/dashboard/src/lib/aigateway.ts:94,handleCreateBudget,services/ai-gateway/handler.go,819,,CreateBudget,,,time.Now
ai-gateway|GET|/ai-gateway/v1/budgets,ai-gateway,GET,/ai-gateway/v1/budgets,/ai-gateway/v1/budgets,web/dashboard/src/lib/aigateway.ts:90,handleListBudgets,services/ai-gateway/handler.go,844,,ListBudgets,,,
ai-gateway|PUT|/ai-gateway/v1/budgets/{param},ai-gateway,PUT,/ai-gateway/v1/budgets/{id},/ai-gateway/v1/budgets/{param},web/dashboard/src/lib/aigateway.ts:97,handleUpdateBudget,services/ai-gateway/handler.go,856,,UpdateBudget,,,
ai-gateway|GET|/ai-gateway/v1/budgets/usage,ai-gateway,GET,/ai-gateway/v1/budgets/usage,/ai-gateway/v1/budgets/usage,web/dashboard/src/lib/aigateway.ts:100,handleBudgetUsage,services/ai-gateway/handler.go,873,,ListBudgets,,,
ai-gateway|POST|/ai-gateway/v1/guardrails,ai-gateway,POST,/ai-gateway/v1/guardrails,/ai-gateway/v1/guardrails,web/dashboard/src/lib/aigateway.ts:109,handleCreateGuardrail,services/ai-gateway/handler.go,887,,CreateGuardrail,,,
ai-gateway|GET|/ai-gateway/v1/guardrails,ai-gateway,GET,/ai-gateway/v1/guardrails,/ai-gateway/v1/guardrails,web/dashboard/src/lib/aigateway.ts:105,handleListGuardrails,services/ai-gateway/handler.go,906,,ListGuardrails,,,
